Database size,Average Membership Computation (seconds),Average Index Computation (seconds)
1024,4.284463,3.455849
2048,4.166205,3.489505
4096,4.133402,3.460831
8192,4.168156,3.283228
16384,4.173572,3.467228
32768,6.205546,5.371879
65536,9.835437,9.111938
131072,16.99204,15.83823
262144,30.96872,28.77169
524288,58.15449,54.02775
1048576,115.5416,110.9093
