Database size,Average Membership Computation (seconds),Average Index Computation (seconds)
1024,5.890172,4.678301
2048,4.463122,4.189431
4096,4.542609,4.195291
8192,4.493323,4.353677
16384,4.518783,4.175511
32768,6.155975,5.85484
65536,9.560245,9.011757
131072,16.00675,15.46935
262144,28.72538,27.62988
524288,53.24866,49.70151
1048576,102.411,96.52172
