Database size,Average Membership Computation (seconds),Average Index Computation (seconds)
1024,11.53396,11.34528
2048,17.10437,16.84197
4096,35.85584,35.58335
8192,64.59091,64.21673
16384,133.7622,135.7759
32768,264.6873,265.5275
65536,,
131072,,
262144,,
524288,,
1048576,,
