Network,Baseline,GROTE,Blind-Match,HERS,Ours,Bytes Per Second
2G,3849.6126,5203.516591,8483.28618,394181.9321,1542.931267,8192
3G,376.8063331,490.5246628,421.3852211,12326.66277,54.21676607,262144
4G,264.9991253,338.7896026,161.8318321,32.80927864,6.28751269,134217728
5G,264.7912645,338.507512,161.3492965,9.953778017,6.198407425,2684354560
