Database size,Average Membership Computation (seconds),Average Index Computation (seconds)
1024,17.44973,20.63643
2048,25.17561,28.29636
4096,48.68469,50.74446
8192,89.64733,92.06498
16384,175.1823,176.001
32768,338.3642,336.7051
65536,,
131072,,
262144,,
524288,,
1048576,,
