input,combined,chebyshev,cheon,
-0.983886,2.22958e-07,-0.999667,-1,
-0.983764,2.04505e-07,-0.999406,-1,
-0.983642,2.2698e-07,-0.999414,-1,
-0.98352,1.97022e-07,-0.999685,-1,
-0.983397,1.52731e-07,-1.00009,-1,
-0.983275,2.1251e-07,-1.00046,-1,
-0.983153,1.80961e-07,-1.00062,-1,
-0.983031,1.73288e-07,-1.00052,-1,
-0.982909,1.98617e-07,-1.00018,-1,
-0.982787,1.82613e-07,-0.999773,-1,
-0.982665,1.96068e-07,-0.999461,-1,
-0.982543,1.88938e-07,-0.999378,-1,
-0.982421,1.75478e-07,-0.999558,-1,
-0.982299,2.17571e-07,-0.999922,-1,
-0.982177,2.1615e-07,-1.00032,-1,
-0.982055,2.20924e-07,-1.00058,-1,
-0.981932,2.07775e-07,-1.00061,-1,
-0.98181,1.93432e-07,-1.00038,-1,
-0.981688,2.12413e-07,-1.00001,-1,
-0.981566,2.04376e-07,-0.999628,-1,
-0.981444,2.34317e-07,-0.9994,-1,
-0.981322,2.13166e-07,-0.99941,-1,
-0.9812,2.02934e-07,-0.999652,-1,
-0.981078,2.21881e-07,-1.00003,-1,
-0.980956,1.97698e-07,-1.00039,-1,
-0.980834,1.57657e-07,-1.0006,-1,
-0.980712,2.26793e-07,-1.00058,-1,
-0.98059,1.90969e-07,-1.00033,-1,
-0.980468,2.45057e-07,-0.999957,-1,
-0.980345,1.6298e-07,-0.999599,-1,
-0.980223,2.43104e-07,-0.999393,-1,
-0.980101,2.37197e-07,-0.999413,-1,
-0.979979,1.78239e-07,-0.999652,-1,
-0.979857,1.99512e-07,-1.00002,-1,
-0.979735,1.68587e-07,-1.00038,-1,
-0.979613,1.77484e-07,-1.0006,-1,
-0.979491,1.67421e-07,-1.0006,-1,
-0.979369,2.05789e-07,-1.00039,-1,
-0.979247,1.87258e-07,-1.00004,-1,
-0.979125,1.90274e-07,-0.999671,-1,
-0.979003,1.93532e-07,-0.999425,-1,
-0.978881,1.97392e-07,-0.999383,-1,
-0.978758,1.9091e-07,-0.999557,-1,
-0.978636,1.76639e-07,-0.999885,-1,
-0.978514,1.98096e-07,-1.00025,-1,
-0.978392,1.99637e-07,-1.00053,-1,
-0.97827,2.48829e-07,-1.00063,-1,
-0.978148,1.60538e-07,-1.00051,-1,
-0.978026,2.30065e-07,-1.00022,-1,
-0.977904,1.71244e-07,-0.999853,-1,
-0.977782,1.92734e-07,-0.999538,-1,
-0.97766,2.30887e-07,-0.999379,-1,
-0.977538,1.79678e-07,-0.999427,-1,
-0.977416,2.0086e-07,-0.999664,-1,
-0.977294,2.12697e-07,-1.00001,-1,
-0.977171,1.72706e-07,-1.00035,-1,
-0.977049,2.12839e-07,-1.00058,-1,
-0.976927,1.92191e-07,-1.00062,-1,
-0.976805,2.18085e-07,-1.00046,-1,
-0.976683,1.87144e-07,-1.00015,-1,
-0.976561,2.49479e-07,-0.999794,-1,
-0.976439,1.70754e-07,-0.999506,-1,
-0.976317,2.2328e-07,-0.999374,-1,
-0.976195,2.38255e-07,-0.999439,-1,
-0.976073,2.15757e-07,-0.99968,-1,
-0.975951,2.02484e-07,-1.00002,-1,
-0.975829,2.14494e-07,-1.00035,-1,
-0.975707,1.92142e-07,-1.00058,-1,
-0.975584,2.018e-07,-1.00062,-1,
-0.975462,2.08336e-07,-1.00048,-1,
-0.97534,1.92652e-07,-1.00019,-1,
-0.975218,1.66884e-07,-0.999843,-1,
-0.975096,1.89287e-07,-0.999545,-1,
-0.974974,1.73463e-07,-0.999384,-1,
